NOME;ANO;IAA;IEG;IPS;IDA;IPP;IPV;IAN;INDE;PONTO_VIRADA;IDADE_ALUNO;PEDRA
ALUNO-85;2020;9.50002;9.9;2.5;10.0;2.5;6.66666;5.0;7.263334;Não;9;Ágata
ALUNO-86;2020;8.33334;4.9;7.5;3.6666666666666665;7.5;5.7083325;5.0;5.688333833333334;Não;17;Quartzo
ALUNO-87;2020;8.33334;9.2;5.625;6.666666666666667;8.749999999999998;8.722226666666666;10.0;8.188612666666666;Sim;14;Ametista
ALUNO-88;2020;10.00002;9.4;7.5;9.5;5.9375;9.58334;10.0;9.04042;Sim;11;Topázio
ALUNO-89;2020;10.00002;10.0;7.5;7.5;6.875;7.5;5.0;7.937502;Não;9;Ametista
ALUNO-90;2020;8.33334;5.8;7.5;7.666666666666667;7.96875;7.5000025;5.0;7.073542833333333;Não;14;Ágata
ALUNO-91;2020;9.000020000000001;6.4;6.875;4.5;5.625;7.58333;10.0;6.846668;Não;10;Ágata
ALUNO-94;2020;7.08333;6.0;7.5;4.0;7.96875;7.5000025;10.0;6.7552085;Não;12;Ágata
ALUNO-95;2020;9.58335;8.2;7.5;6.666666666666667;7.96875;6.791665;5.0;7.336876333333333;Não;15;Ametista
ALUNO-96;2020;9.16668;6.1;6.875;3.0;7.5;8.791664999999998;5.0;6.432500999999999;Sim;18;Ágata
ALUNO-97;2020;9.50002;8.0;7.5;6.0;8.4375;7.75;5.0;7.393752;Não;12;Ametista
ALUNO-100;2020;9.000020000000001;6.5;4.375;7.5;6.875;7.916665;5.0;6.908335000000001;Não;12;Ágata
ALUNO-102;2020;8.000020000000001;8.5;7.5;7.0;7.5;7.833333333333333;10.0;7.966668666666667;Não;9;Ametista
ALUNO-103;2020;9.000020000000001;10.0;7.5;8.5;7.8125;7.333335;10.0;8.597919000000001;Não;8;Topázio
ALUNO-105;2020;9.16668;9.6;7.5;8.0;7.96875;7.66667;10.0;8.516877;Não;13;Topázio
ALUNO-106;2020;9.50002;10.0;7.5;10.0;7.5;7.5;5.0;8.450002;Não;10;Ametista
ALUNO-111;2020;7.91667;7.7;7.5;4.5;7.96875;7.8750025;5.0;6.8535425;Não;14;Ágata
ALUNO-112;2020;7.91667;6.8;4.375;5.333333333333333;7.708333333333334;7.611103333333333;5.0;6.448887666666667;Não;14;Ágata
ALUNO-113;2020;8.500020000000001;8.8;7.5;7.5;7.5;7.916665;5.0;7.693335000000001;Não;11;Ametista
ALUNO-115;2020;9.16668;1.9;6.875;5.166666666666667;7.916666666666667;5.111106666666666;5.0;5.331389333333334;Não;15;Quartzo
ALUNO-117;2020;8.000020000000001;8.9;7.5;9.5;7.1875;7.916665;5.0;8.032085;Não;10;Ametista
ALUNO-118;2020;8.500020000000001;7.7;7.5;10.0;7.1875;7.416665;10.0;8.342085;Não;8;Ametista
ALUNO-120;2020;9.000020000000001;10.0;8.125;9.5;2.5;7.666665;5.0;7.895835000000001;Não;9;Ametista
ALUNO-125;2020;9.000020000000001;9.0;7.5;5.0;7.708333333333334;7.333333333333333;5.0;7.187502;Não;10;Ágata
ALUNO-128;2020;7.416679999999999;10.0;5.625;5.5;2.5;3.500005;5.0;5.854169000000001;Não;9;Quartzo
ALUNO-132;2020;8.75001;6.5;7.5;6.0;8.28125;6.95833;10.0;7.344792;Não;14;Ametista
ALUNO-133;2020;10.00002;9.8;7.5;10.0;7.1875;7.5;5.0;8.428752;Não;10;Ametista
ALUNO-135;2020;9.000020000000001;8.4;7.5;6.5;7.1875;7.25;10.0;7.798752;Não;9;Ametista
ALUNO-136;2020;7.5;4.0;4.375;2.0;6.666666666666667;5.444446666666667;5.0;4.643056;Não;16;Quartzo
ALUNO-139;2020;9.16668;5.8;7.5;4.333333333333333;8.125;5.499996666666667;5.0;6.105834000000001;Não;17;Ágata
ALUNO-145;2020;7.91667;9.1;7.5;7.333333333333333;7.5;8.8333375;10.0;8.345001166666666;Sim;17;Ametista
ALUNO-146;2020;10.00002;7.2;7.5;0.0;7.291666666666667;7.333333333333333;10.0;6.385835333333334;Não;9;Ágata
ALUNO-147;2020;9.000020000000001;8.0;7.5;0.0;7.291666666666667;7.277776666666666;5.0;5.934724000000001;Não;13;Quartzo
ALUNO-149;2020;7.5;8.7;5.625;3.0;8.125;8.333335;10.0;7.131667;Não;16;Ágata
ALUNO-151;2020;9.50002;9.5;7.5;7.5;9.166666666666666;8.611113333333334;5.0;8.238891333333333;Não;11;Ametista
ALUNO-152;2020;6.24999;9.0;7.5;6.333333333333333;7.96875;8.6250075;10.0;7.963542166666667;Não;11;Ametista
ALUNO-153;2020;10.00002;9.0;7.5;4.666666666666667;8.59375;9.1250075;10.0;8.167711833333334;Sim;13;Ametista
ALUNO-154;2020;8.500020000000001;7.1;7.5;0.0;7.8125;7.916665;5.0;5.884585;Não;10;Quartzo
ALUNO-156;2020;7.916679999999999;8.9;7.5;5.0;6.666666666666667;8.11111;5.0;7.110556666666668;Não;12;Ágata
ALUNO-157;2020;9.50002;6.4;7.5;6.75;7.916666666666668;7.777776666666667;5.0;7.177224000000001;Não;10;Ágata
ALUNO-158;2020;9.16668;5.9;3.75;5.0;7.708333333333334;6.611103333333333;5.0;6.064722;Não;14;Quartzo
ALUNO-160;2020;8.000020000000001;2.3;5.0;0.0;7.291666666666667;7.444443333333333;5.0;4.478057333333334;Não;10;Quartzo
ALUNO-161;2020;7.91667;10.0;7.5;9.0;0.0;0.0;10.0;8.891667;;18;Ametista
ALUNO-162;2020;8.500020000000001;8.8;7.5;8.5;8.4375;7.75;5.0;7.953752000000001;Não;10;Ametista
ALUNO-163;2020;7.50002;8.2;5.0;6.25;2.5;7.75;5.0;6.440002;Não;12;Ágata
ALUNO-164;2020;9.50002;8.7;7.5;7.5;7.1875;7.75;5.0;7.708752;Não;10;Ametista
ALUNO-165;2020;9.000020000000001;10.0;7.5;10.0;7.8125;7.5;5.0;8.431252;Não;11;Ametista
ALUNO-168;2020;10.00002;8.8;7.5;8.5;7.5;8.11111;5.0;8.082224;Não;11;Ametista
ALUNO-169;2020;9.000020000000001;10.0;5.0;10.0;2.5;5.749995;10.0;7.800001000000001;Não;8;Ametista
ALUNO-173;2020;7.91667;0.9;3.125;2.833333333333333;5.625;4.1250025;5.0;3.7383341666666654;Não;16;Quartzo
ALUNO-174;2020;9.16668;10.0;5.625;7.2;0.0;0.0;10.0;7.921668;;15;Ametista
ALUNO-183;2020;9.000020000000001;10.0;8.125;10.0;2.5;7.000005;5.0;7.862503;Não;11;Ametista
ALUNO-184;2020;10.00002;8.3;7.5;7.5;7.916666666666668;7.777776666666667;10.0;8.257224;Não;9;Ametista
ALUNO-186;2020;8.75001;5.8;7.5;5.666666666666667;8.125;6.66666;2.5;6.314166333333334;Não;16;Ágata
ALUNO-187;2020;8.500020000000001;8.0;7.5;0.0;7.916666666666667;7.111106666666665;10.0;6.41389;Não;10;Ágata
ALUNO-188;2020;7.08333;4.7;7.5;9.0;8.125;8.66667;10.0;7.744167;Sim;13;Ametista
ALUNO-189;2020;8.000020000000001;8.3;5.0;8.0;7.291666666666667;7.333333333333333;5.0;7.2558353333333345;Não;10;Ágata
ALUNO-190;2020;8.33334;9.2;6.875;7.666666666666667;9.0625;9.666670000000002;10.0;8.733751333333334;Sim;17;Topázio
ALUNO-192;2020;7.416679999999999;5.1;5.0;0.0;6.041666666666666;7.444443333333333;5.0;4.854723333333333;Não;11;Quartzo
ALUNO-193;2020;10.00002;9.8;5.0;7.0;8.125;9.333333333333332;10.0;8.539168666666667;Sim;13;Topázio
ALUNO-194;2020;8.33334;8.3;6.875;6.333333333333333;7.65625;7.04167;5.0;7.1214596666666665;Não;17;Ágata
ALUNO-197;2020;8.33334;9.6;7.5;8.666666666666666;8.958333333333332;8.5;10.0;8.832500666666666;Não;12;Topázio
ALUNO-198;2020;0.0;6.1;5.625;4.5;5.78125;6.291665;10.0;5.518958;Não;16;Quartzo
ALUNO-199;2020;6.25;4.8;7.5;7.666666666666667;8.125;7.388886666666666;5.0;6.658610666666666;Não;14;Ágata
ALUNO-200;2020;7.91667;5.8;7.5;5.666666666666667;8.125;8.5416725;10.0;7.355834833333334;Não;13;Ametista
ALUNO-201;2020;7.08333;9.4;7.5;8.0;7.96875;7.4166675;5.0;7.718541500000001;Não;14;Ametista
ALUNO-202;2020;0.0;2.9;6.875;0.0;6.458333333333334;6.833326666666666;5.0;3.7799986666666663;Não;12;Quartzo
ALUNO-206;2020;0.0;4.3;7.5;2.0;7.8125;7.1249975;10.0;5.2162495;Não;16;Quartzo
ALUNO-208;2020;9.000020000000001;9.4;7.5;5.0;8.125;7.5;10.0;7.842502;Não;11;Ametista
ALUNO-209;2020;9.50002;10.0;6.25;10.0;10.0;10.00001;5.0;9.075004;Sim;9;Topázio
ALUNO-210;2020;10.00002;9.1;7.5;5.666666666666667;8.541666666666666;8.277783333333332;10.0;8.213058666666669;Não;13;Ametista
