NOME;FASE;TURMA;ANO_INGRESSO;BOLSISTA;INDE;CG;CF;CT;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;NOTA_PORT;NOTA_MAT;NOTA_ING;QTD_AVAL;IPP;REC_AVA_1;REC_AVA_2;REC_AVA_3;REC_AVA_4;INDICADO_BOLSA;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;ANO
ALUNO-377;3.0;F;2017.0;Sim;6.94278506049506;510.0;65.0;11.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.08333;8.08025308025308;5.0;4.722222222222222;6.333333333333333;5.0;2.833333333333333;4.0;7.65625;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;Não;7.04166;10.0;Fase 3 (7º e 8º ano);2022
ALUNO-378;7.0;A;2016.0;Sim;7.427454954248366;344.0;6.0;2.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.91667;8.648039215686275;5.625;5.188888888888889;7.0;2.9;5.666666666666667;4.0;8.28125;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;Não;7.388886666666666;10.0;Fase 7 (3º EM);2022
ALUNO-381;0.0;G;2019.0;Não;6.953207128205129;503.0;144.0;6.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;6.891025641025642;5.625;8.0;8.5;7.5;;2.0;5.625;Promovido de Fase;Promovido de Fase;;;Não;Não;7.25;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-386;0.0;G;2022.0;Não;6.655769897435897;604.0;166.0;9.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;8.69551282051282;4.375;4.916666666666666;4.833333333333333;5.0;;2.0;5.625;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7.91666;5.0;Fase 1 (4º ano);2022
ALUNO-387;4.0;P;2018.0;Não;5.159305551302499;814.0;73.0;9.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;5.126395534290271;6.25;3.222222222222222;1.333333333333333;4.5;3.833333333333333;4.0;6.5625;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não;Não;4.79166;5.0;Fase 5 (1º EM);2022
ALUNO-388;2.0;A;2018.0;Não;6.445768751322752;651.0;116.0;11.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.756613756613756;7.5;2.5;2.333333333333333;2.666666666666667;;3.0;5.833333333333334;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7.055553333333332;5.0;Fase 4 (9º ano);2022
ALUNO-391;0.0;J;2022.0;Não;8.057507539961014;131.0;37.0;1.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.50002;9.245857699805068;5.625;9.0;8.5;9.5;;2.0;5.625;Promovido de Fase;Promovido de Fase;;;Não;Sim;9.16667;5.0;Fase 1 (4º ano);2022
ALUNO-392;0.0;J;2022.0;Não;7.22724271539961;417.0;124.0;6.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;8.094541910331383;5.625;5.666666666666667;7.666666666666667;3.666666666666667;;2.0;5.625;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7.499995;10.0;ALFA  (2º e 3º ano);2022
ALUNO-394;4.0;F;2016.0;Sim;7.056350274891774;468.0;38.0;9.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;8.895292207792206;5.0;7.266666666666666;6.0;7.333333333333333;8.466666666666667;4.0;7.65625;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Não;Não;7.7916675;2.5;Fase 7 (3º EM);2022
ALUNO-395;3.0;L;2020.0;Não;5.062781496114996;817.0;126.0;5.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;4.077797202797203;7.5;2.777777777777777;4.0;3.166666666666667;1.166666666666667;4.0;6.25;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Alocado em Fase anterior;Não;Não;5.7499925;2.5;Fase 6 (2º EM);2022
ALUNO-396;6.0;A;2019.0;Não;6.241624113546868;698.0;14.0;14.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.91667;6.083816678845451;7.5;4.988888888888888;8.166666666666666;1.533333333333333;5.266666666666667;4.0;7.1875;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não;Não;6.333329999999999;5.0;Fase 7 (3º EM);2022
ALUNO-398;0.0;H;2022.0;Não;6.931326757575758;512.0;146.0;6.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.50002;5.87121212121212;5.625;5.566666666666667;2.866666666666667;8.266666666666667;;2.0;5.3125;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7.999995;10.0;ALFA  (2º e 3º ano);2022
ALUNO-402;0.0;N;2022.0;Não;7.096346507013722;457.0;133.0;4.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;7.669227535068609;7.5;5.25;6.5;4.0;;2.0;5.625;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;6.999995;10.0;ALFA  (2º e 3º ano);2022
ALUNO-403;4.0;B;2021.0;Não;5.596878687216997;775.0;70.0;12.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;0.0;5.284743991640544;6.25;3.944444444444445;3.666666666666667;4.666666666666667;3.5;4.0;7.34375;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não;Não;6.95833;10.0;Fase 4 (9º ano);2022
ALUNO-404;5.0;L;2016.0;Sim;8.940600419054803;6.0;4.0;3.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.660633484162895;8.125;8.511111111111111;8.833333333333334;8.333333333333334;8.366666666666667;4.0;8.4375;Promovido de Fase;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase + Bolsa;Não;Sim;9.0833375;10.0;Fase 5 (1º EM);2022
ALUNO-405;1.0;L;2021.0;Não;7.011141486631016;483.0;126.0;10.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;8.38903743315508;7.5;3.916666666666667;2.833333333333333;5.0;;3.0;5.833333333333334;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;6.833326666666667;10.0;Fase 1 (4º ano);2022
ALUNO-406;1.0;C;2018.0;Não;7.808336000000001;199.0;47.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.166666666666666;7.5;9.166666666666668;9.333333333333334;9.0;;3.0;6.25;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;;Sim;Não;7.833336666666667;5.0;Fase 3 (7º e 8º ano);2022
ALUNO-407;5.0;L;2018.0;Sim;8.920648367521368;7.0;5.0;4.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.615384615384617;8.125;7.722222222222222;7.0;6.666666666666667;9.5;4.0;8.90625;Promovido de Fase;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase + Bolsa;Não;Sim;9.583340000000002;10.0;Fase 5 (1º EM);2022
