INSTITUICAO_ENSINO_ALUNO;NOME;IDADE_ALUNO;ANOS_PM;FASE_TURMA;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO
Escola Pública;ALUNO-1270;10;1;2E;Não;7.448612666666667;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;6.5;7.5;6.0;7.708333333333334;7.888886666666666;10.0;2020
Escola Pública;ALUNO-1274;15;1;4A;Sim;7.942502666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;8.4;7.5;7.333333333333333;8.958333333333332;8.666673333333334;5.0;2020
Escola Pública;ALUNO-1275;9;1;1G;Não;8.718752;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;8.5;7.5;10.0;7.1875;7.75;10.0;2020
Escola Pública;ALUNO-1277;13;3;3E;Sim;7.639723666666667;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.08333;5.9;5.0;7.666666666666667;8.958333333333332;9.11112;10.0;2020
Escola Pública;ALUNO-1278;9;1;0H;Não;7.31667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;10.0;7.5;10.0;2.5;4.58334;5.0;2020
Escola Pública;ALUNO-1281;16;2;7A;Sim;8.381459166666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;9.1;7.5;6.833333333333333;8.28125;9.1250025;10.0;2020
Rede Decisão/União;ALUNO-1282;7;0;0A;Não;6.301668;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.916679999999999;8.8;2.5;8.5;2.5;2.75;10.0;2020
Escola Pública;ALUNO-1284;16;0;5A;Não;6.793611000000001;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;8.6;7.5;4.333333333333333;7.708333333333334;6.555550000000001;5.0;2020
Escola Pública;ALUNO-1285;8;0;0H;Não;8.61125;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.9;7.5;9.0;7.8125;6.99999;10.0;2020
Escola Pública;ALUNO-1287;10;0;0A;Não;7.16667;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;10.0;7.5;8.5;2.5;5.58334;5.0;2020
Rede Decisão/União;ALUNO-1288;16;4;6B;Não;6.728749;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;0.0;7.8;7.5;6.0;7.1875;7.499995;10.0;2020
Escola Pública;ALUNO-1289;12;0;2L;Não;6.120001333333334;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;7.1;7.5;3.0;6.666666666666667;6.666663333333334;5.0;2020
FIAP;ALUNO-1290;18;2;8A;;7.183333999999999;C;Ágata;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;8.33334;0.0;8.75;9.0;0.0;0.0;10.0;2020
Escola Pública;ALUNO-1291;9;0;1K;Não;8.050834666666667;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.91668;6.9;7.5;10.0;7.291666666666667;7.5;10.0;2020
Escola Pública;ALUNO-1292;11;1;2P;Não;8.949447333333334;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.4;7.5;9.0;8.75;8.222226666666668;10.0;2020
Escola Pública;ALUNO-1293;12;1;2C;Não;3.8519446666666672;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;0.0;1.1;7.5;0.0;7.708333333333334;8.055556666666668;5.0;2020
Escola Pública;ALUNO-1294;16;1;6B;Não;4.4933325;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;2.8;5.0;0.0;6.25;5.0833275;10.0;2020
