NOME;FASE;TURMA;INSTITUICAO_ENSINO_ALUNO;SINALIZADOR_INGRESSANTE;PEDRA;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;DEFASAGEM;ANO
ALUNO-1122;4.0;L;Escola Pública;Ingressante;Ametista;7.906;8.8;5.8;7.5;8.4;7.8;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Não;8.3;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-1123;4.0;G;Rede Decisão;Ingressante;Ametista;7.634;7.5;8.6;6.3;7.5;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;8.5;5.0;Nível 6 (2o EM);-2.0;2021
ALUNO-1124;4.0;F;Escola Pública;Ingressante;Ametista;7.264;7.9;8.6;5.6;6.0;8.1;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;8.4;5.0;Nível 6 (2o EM);-2.0;2021
ALUNO-1126;3.0;G;Escola Pública;Ingressante;Quartzo;5.047;7.1;3.3;7.5;4.0;6.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.8;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1127;3.0;A;Rede Decisão;Veterano;Ametista;7.547;9.2;7.8;6.3;5.5;7.9;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não;7.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1128;4.0;F;Rede Decisão;Veterano;Ametista;7.961;9.2;8.9;5.0;8.1;8.8;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;8.9;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-1129;2.0;I;Escola Pública;Veterano;Ametista;7.261;6.8;7.9;6.9;4.6;7.7;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.1;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1130;2.0;N;Rede Decisão;Veterano;Topázio;9.107;10.0;10.0;7.5;9.5;9.8;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não avaliado;Sim;9.9;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1131;3.0;M;Escola Pública;Veterano;Ágata;5.774;7.1;5.6;7.5;4.1;6.9;Mantido na Fase atual;Alocado em Fase anterior;Mantido na Fase atual;Não avaliado;Não;6.0;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1132;7.0;A;Rede Decisão;Veterano;Ametista;7.584;7.1;8.6;7.5;8.0;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;7.4;5.0;Nível 8 (Universitários);-1.0;2021
ALUNO-1136;4.0;E;Escola Pública;Veterano;Topázio;8.292;8.8;9.2;7.5;8.2;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Sim;9.1;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-1139;3.0;C;Escola Pública;Veterano;Ágata;6.497;8.8;5.8;7.5;5.0;7.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.3;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1140;5.0;B;Escola Pública;Ingressante;Ágata;6.545;7.5;6.1;7.5;5.5;7.8;Promovido de Fase + Bolsa;Alocado em Fase anterior;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;7.2;5.0;Nível 7 (3o EM);-2.0;2021
ALUNO-1141;2.0;P;Escola Pública;Veterano;Ametista;6.969;7.4;5.0;7.5;6.9;8.1;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.9;5.0;Nível 4 (9o ano);-2.0;2021
ALUNO-1143;0.0;O;Escola Pública;Ingressante;Ametista;7.154;8.5;10.0;3.8;6.3;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.1;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-1146;3.0;A;Escola Pública;Ingressante;Ametista;7.775;9.6;7.2;7.5;6.1;7.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.3;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1147;5.0;L;Escola Pública;Ingressante;Ametista;8.181;9.6;8.1;7.5;8.9;8.8;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;8.6;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-1149;0.0;P;Escola Pública;Veterano;Ágata;5.825;9.0;4.2;7.5;5.4;5.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.3;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-1150;1.0;G;Escola Pública;Veterano;Ametista;7.318;8.0;8.8;7.5;5.8;8.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.6;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1151;3.0;L;Escola Pública;Ingressante;Ágata;5.931;0.0;5.3;7.5;7.8;7.9;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;6.3;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1155;0.0;R;Escola Pública;Ingressante;Topázio;9.048;9.5;10.0;7.5;7.7;8.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não avaliado;Não avaliado;Sim;9.8;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1156;4.0;A;Escola Pública;Ingressante;Ágata;6.73;8.8;5.3;5.6;6.5;7.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;6.2;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-1157;0.0;R;Escola Pública;Ingressante;Ametista;7.629;7.5;6.7;7.5;7.1;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.2;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1159;5.0;L;Rede Decisão;Veterano;Ametista;8.014;8.8;8.3;7.5;8.6;8.3;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.4;5.0;Nível 6 (2o EM);-1.0;2021
