loss;accuracy;val_loss;val_accuracy
0.6935870051383972;0.5440547466278076;0.6897038221359253;0.5460751056671143
0.6979782581329346;0.5312232971191406;0.6871581077575684;0.552901029586792
0.691969633102417;0.5603079795837402;0.684628963470459;0.5563139915466309
0.691890299320221;0.5637297034263611;0.6822750568389893;0.5597269535064697
0.6821874976158142;0.5466210246086121;0.6797906756401062;0.5597269535064697
0.6910778284072876;0.556030809879303;0.6774628758430481;0.5631399154663086
0.6868749260902405;0.5491873621940613;0.6751182675361633;0.5665528774261475
0.6741999387741089;0.5722839832305908;0.6729148626327515;0.5665528774261475
0.6815415024757385;0.56886225938797;0.670670747756958;0.5767918229103088
0.6803018450737;0.5680068731307983;0.6685361266136169;0.5767918229103088
0.6668735146522522;0.5868263244628906;0.6663187146186829;0.5802047848701477
0.6786376237869263;0.5911034941673279;0.6642998456954956;0.5802047848701477
0.6708890199661255;0.5919589400291443;0.6623331904411316;0.5836177468299866
0.6713771224021912;0.5893926620483398;0.6603457927703857;0.5870307087898254
0.6513787508010864;0.6218990683555603;0.6585022211074829;0.5870307087898254
0.670396625995636;0.57485032081604;0.6565410494804382;0.5870307087898254
0.6512808799743652;0.6142001748085022;0.6547051668167114;0.5870307087898254
0.6562692523002625;0.6124892830848694;0.6527944207191467;0.5904436707496643
0.6622143387794495;0.6013686656951904;0.6508756875991821;0.5904436707496643
0.6550679206848145;0.6193327903747559;0.6489863395690918;0.5904436707496643
0.6506405472755432;0.6159110069274902;0.6471440196037292;0.5938566327095032
0.6513850092887878;0.6082121729850769;0.6453331708908081;0.5938566327095032
0.6497423648834229;0.6056458353996277;0.6433528661727905;0.5972696542739868
0.6401166319847107;0.6355859637260437;0.6414565443992615;0.5972696542739868
0.6476888656616211;0.6270316243171692;0.6396573781967163;0.5972696542739868
0.6496756076812744;0.6030795574188232;0.6378776431083679;0.6006826162338257
0.637021005153656;0.6372968554496765;0.6360710859298706;0.6040955781936646
0.6410730481147766;0.6270316243171692;0.6342950463294983;0.6109215021133423
